City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Mount Darwin,ZW,69.71,light rain,-16.7725,31.5838,
80,Hermanus,ZA,64.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
82,Bredasdorp,ZA,65.52,light rain,-34.5322,20.0403,Bredasdorp Country Manor
84,Mumford,GH,78.78,overcast clouds,5.2618,-0.759,Spanish Villa
85,Cape Town,ZA,66.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
89,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
90,Tabou,CI,80.78,broken clouds,4.423,-7.3528,hotêl doufoulougou
91,Binga,ZW,70.61,light rain,-17.6203,27.3414,Lakeview Inn Binga
93,Faanui,PF,82.15,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Inirida,CO,75.74,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
96,Viedma,AR,67.57,clear sky,-40.8135,-62.9967,Hotel Cristal
98,Nelson Bay,AU,82.76,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
103,New Norfolk,AU,66.7,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
106,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
108,Rantepao,ID,77.58,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
109,Victoria,HK,68.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
112,Tiarei,PF,87.82,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
114,Kaitangata,NZ,65.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
115,Ikalamavony,MG,68.81,broken clouds,-21.15,46.5833,
117,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
120,Puerto Escondido,MX,81.43,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
121,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
123,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Champerico,GT,81.36,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
127,Cam Ranh,VN,71.56,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
130,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
136,Muros,ES,60.24,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
138,Maragogi,BR,78.78,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
140,Atuona,PF,78.84,few clouds,-9.8,-139.0333,Villa Enata
142,Alugan,PH,80.31,overcast clouds,12.2188,125.4808,JM Lodge
144,Labuhan,ID,82.33,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
147,Yaan,NG,78.21,broken clouds,7.3833,8.5667,
148,Samarai,PG,84.4,broken clouds,-10.6167,150.6667,Nuli Sapi
149,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
150,Ratnagiri,IN,70.54,clear sky,16.9833,73.3,Hotel Landmark
151,Chuy,UY,64.0,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
152,Codrington,AU,64.24,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
153,Lorengau,PG,84.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
156,Ahipara,NZ,72.91,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
160,Sinnamary,GF,77.52,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
163,Namibe,AO,67.44,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
165,Voh,NC,85.73,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
166,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
168,Bandarbeyla,SO,75.54,few clouds,9.4942,50.8122,JABIR HOTEL
170,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
172,Beruwala,LK,74.35,overcast clouds,6.4788,79.9828,The Palms Hotel
173,Rio Gallegos,AR,68.05,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
175,Arlit,NE,63.27,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
176,Humaita,BR,74.86,light rain,-7.5061,-63.0208,Corrêa Hotel
177,Tiradentes,BR,65.52,overcast clouds,-21.1103,-44.1781,Hotel Serra Vista
179,Bambanglipuro,ID,80.26,overcast clouds,-7.95,110.2833,Puri Brata
181,Auki,SB,84.34,overcast clouds,-8.7676,160.7034,Auki Motel
182,Bubaque,GW,81.36,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
183,Porto Belo,BR,73.38,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
187,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
188,Taltal,CL,66.31,overcast clouds,-25.4,-70.4833,Residencial Karime
189,Saint-Philippe,RE,78.35,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
190,Ancud,CL,62.13,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
191,Taoudenni,ML,69.1,overcast clouds,22.6783,-3.9836,
192,Caravelas,BR,77.63,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
193,Camacha,PT,62.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
194,Alegrete,BR,76.14,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
197,Vao,NC,75.99,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
198,Port Pirie,AU,71.69,clear sky,-33.1833,138.0167,John Pirie Motor Inn
201,Hualmay,PE,69.26,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
204,El Tocuyo,VE,73.67,overcast clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
205,Guerrero Negro,MX,63.25,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
206,Mahina,PF,87.57,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
208,Tadine,NC,80.35,light rain,-21.55,167.8833,
209,Adrar,MR,65.25,clear sky,20.5022,-10.0711,
211,Coolum Beach,AU,86.07,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
212,Kavieng,PG,83.95,light rain,-2.5744,150.7967,Nusa Island Retreat
213,Olinda,BR,82.13,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
215,Inhambane,MZ,75.49,overcast clouds,-23.865,35.3833,Oceano
218,Koumac,NC,83.55,scattered clouds,-20.5667,164.2833,Le Monitel
220,Half Moon Bay,US,60.98,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
225,Benguela,AO,73.71,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
230,Esperance,AU,67.84,scattered clouds,-33.8667,121.9,Hospitality Esperance
231,Matara,LK,74.53,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
234,Moreira Sales,BR,77.97,clear sky,-24.0622,-53.0069,Casa Cristo Rei
236,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
237,Morant Bay,JM,78.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
238,Salalah,OM,68.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
239,Pemangkat,ID,80.46,few clouds,1.1667,108.9667,Ramah Kost KITA
243,Puerto Leguizamo,CO,78.8,overcast clouds,-0.1934,-74.7819,la casona de juancho
244,Airai,TL,67.24,overcast clouds,-8.9266,125.4092,Juvinal Martin
249,Pundaguitan,PH,80.26,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
