City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Maragogi,BR,-9.0122,-35.2225,78.78,83,70,9.33,broken clouds
139,Najran,SA,17.4924,44.1277,56.05,48,0,2.39,clear sky
140,Atuona,PF,-9.8,-139.0333,78.84,76,11,19.75,few clouds
141,Shingu,JP,33.7333,135.9833,47.39,54,0,0.98,clear sky
142,Alugan,PH,12.2188,125.4808,80.31,75,99,9.37,overcast clouds
143,Mao,ES,39.8885,4.2658,54.16,94,90,2.3,overcast clouds
144,Labuhan,ID,-6.8844,112.2051,82.33,75,100,5.17,overcast clouds
145,Xixiang,CN,35.1628,112.865,39.0,60,100,2.1,overcast clouds
146,Nikolskoye,RU,59.7035,30.7861,7.92,98,99,4.76,overcast clouds
147,Yaan,NG,7.3833,8.5667,78.21,27,54,3.71,broken clouds
148,Samarai,PG,-10.6167,150.6667,84.4,70,83,4.9,broken clouds
149,Mersing,MY,2.4312,103.8405,75.11,100,40,3.44,scattered clouds
150,Ratnagiri,IN,16.9833,73.3,70.54,76,0,4.68,clear sky
151,Chuy,UY,-33.6971,-53.4616,64.0,80,0,7.34,clear sky
152,Codrington,AU,-38.2667,141.9667,64.24,54,86,11.7,overcast clouds
153,Lorengau,PG,-2.0226,147.2712,84.29,77,100,8.95,overcast clouds
154,Caluquembe,AO,-13.7833,14.6833,59.43,88,100,3.76,overcast clouds
155,Korla,CN,41.7597,86.1469,22.41,72,47,6.96,scattered clouds
156,Ahipara,NZ,-35.1667,173.1667,72.91,62,100,11.54,overcast clouds
157,Terney,RU,45.0503,136.6092,2.48,63,0,14.16,clear sky
158,Norman Wells,CA,65.282,-126.8329,-3.96,77,90,6.91,light snow
159,Grindavik,IS,63.8424,-22.4338,30.67,80,0,9.22,clear sky
160,Sinnamary,GF,5.3833,-52.95,77.52,91,100,9.6,overcast clouds
161,Anadyr,RU,64.75,177.4833,5.5,77,90,22.37,snow
162,Olafsvik,IS,64.8945,-23.7142,33.37,74,4,11.72,clear sky
163,Namibe,AO,-15.1961,12.1522,67.44,76,39,8.21,scattered clouds
164,Khorixas,NA,-20.3667,14.9667,63.5,37,0,2.84,clear sky
165,Voh,NC,-20.9667,164.7,85.73,65,47,3.85,scattered clouds
166,Tarakan,ID,3.3,117.6333,81.9,89,40,3.44,scattered clouds
167,Ponazyrevo,RU,58.3578,46.3142,-5.19,99,95,4.18,overcast clouds
168,Bandarbeyla,SO,9.4942,50.8122,75.54,72,14,13.91,few clouds
169,Gelibolu,TR,40.4103,26.6708,37.26,70,49,8.12,scattered clouds
170,Pitimbu,BR,-7.4706,-34.8086,81.19,80,92,10.07,overcast clouds
171,Aksu,CN,41.1231,80.2644,22.08,56,1,1.68,clear sky
172,Beruwala,LK,6.4788,79.9828,74.35,89,100,2.89,overcast clouds
173,Rio Gallegos,AR,-51.6226,-69.2181,68.05,45,40,14.97,scattered clouds
174,Eureka,US,40.8021,-124.1637,56.01,82,100,1.01,moderate rain
175,Arlit,NE,18.7369,7.3853,63.27,14,100,4.72,overcast clouds
176,Humaita,BR,-7.5061,-63.0208,74.86,98,100,1.1,light rain
177,Tiradentes,BR,-21.1103,-44.1781,65.52,90,96,2.55,overcast clouds
178,Hami,CN,42.8,93.45,24.85,54,1,2.21,clear sky
179,Bambanglipuro,ID,-7.95,110.2833,80.26,79,95,2.42,overcast clouds
180,Pevek,RU,69.7008,170.3133,-15.34,99,100,5.7,overcast clouds
181,Auki,SB,-8.7676,160.7034,84.34,67,97,5.93,overcast clouds
182,Bubaque,GW,11.2833,-15.8333,81.36,61,15,6.35,few clouds
183,Porto Belo,BR,-27.1578,-48.5531,73.38,84,100,10.25,overcast clouds
184,Normandin,CA,48.8333,-72.5321,17.91,86,99,6.91,overcast clouds
185,Brainerd,US,46.358,-94.2008,17.85,73,1,3.44,clear sky
186,Monticello,US,45.3055,-93.7941,24.71,80,1,5.75,clear sky
187,Cabo San Lucas,MX,22.8909,-109.9124,76.3,53,1,3.44,clear sky
