City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Sao Jose Da Coroa Grande,BR,2021-12-14 20:54:57,-8.8978,-35.1478,79.72,76,99,9.93
150,Namatanai,PG,2021-12-14 20:54:57,-3.6667,152.4333,81.68,80,91,7.25
151,Esperance,AU,2021-12-14 20:54:57,-33.8667,121.9,51.64,77,0,0.51
152,Miraflores,MX,2021-12-14 20:54:58,19.2167,-98.8083,71.02,31,9,2.59
153,Southbridge,US,2021-12-14 20:54:58,42.0751,-72.0334,50.27,38,3,4.76
154,Kodiak,US,2021-12-14 20:54:58,57.79,-152.4072,21.7,78,54,13.65
155,Vao,NC,2021-12-14 20:54:59,-22.6667,167.4833,76.05,62,97,22.35
156,Berlevag,NO,2021-12-14 20:54:59,70.8578,29.0864,30.2,74,0,6.91
157,Arona,ES,2021-12-14 20:54:59,28.0996,-16.681,61.79,74,20,4.61
158,Hopelchen,MX,2021-12-14 20:55:00,19.7667,-89.85,91.69,30,21,5.28
159,Gemena,CD,2021-12-14 20:55:00,3.25,19.7667,79.75,51,97,1.36
160,Aykhal,RU,2021-12-14 20:55:01,66.0,111.5,-19.59,99,100,3.91
161,Murgab,TM,2021-12-14 20:55:01,37.4966,61.9714,30.07,93,90,9.22
162,Meulaboh,ID,2021-12-14 20:55:01,4.1363,96.1285,76.39,92,100,6.24
163,Alofi,NU,2021-12-14 20:55:02,-19.0595,-169.9187,80.49,69,40,6.91
164,Birao,CF,2021-12-14 20:55:02,10.2849,22.7882,77.23,25,100,5.73
165,Arraial Do Cabo,BR,2021-12-14 20:55:02,-22.9661,-42.0278,84.16,78,40,13.8
166,Pacific Grove,US,2021-12-14 20:52:04,36.6177,-121.9166,52.77,74,40,5.99
167,Burnie,AU,2021-12-14 20:55:03,-41.0667,145.9167,58.53,83,100,3.13
168,Douentza,ML,2021-12-14 20:55:03,14.9951,-2.9517,78.51,14,52,5.77
169,Faya,SA,2021-12-14 20:55:04,18.3851,42.4509,48.72,41,41,2.84
170,Ordzhonikidze,KZ,2021-12-14 20:55:04,52.4411,61.7408,23.74,70,100,13.13
171,Victoria,HK,2021-12-14 20:52:33,22.2855,114.1577,69.76,88,100,4.0
172,Belmonte,BR,2021-12-14 20:55:05,-15.8631,-38.8828,81.1,84,100,8.61
173,Narsaq,GL,2021-12-14 20:55:05,60.9167,-46.05,22.33,76,100,5.32
174,Ngaoundere,CM,2021-12-14 20:55:05,7.3167,13.5833,72.3,21,100,3.62
175,Diffa,NE,2021-12-14 20:55:06,13.3154,12.6113,72.16,14,73,10.2
176,San Patricio,US,2021-12-14 20:55:06,28.017,-97.5169,84.29,58,84,15.88
177,Itarema,BR,2021-12-14 20:55:06,-2.9248,-39.9167,81.34,74,91,15.3
178,Hithadhoo,MV,2021-12-14 20:55:07,-0.6,73.0833,81.03,79,42,8.3
179,Lujiang,CN,2021-12-14 20:55:07,31.2581,117.2817,44.65,68,100,3.22
180,Atbasar,KZ,2021-12-14 20:55:07,51.8,68.3333,12.25,87,100,9.31
181,Yacuiba,BO,2021-12-14 20:55:08,-22.038,-63.6797,83.17,69,75,5.75
182,Indramayu,ID,2021-12-14 20:55:08,-6.3264,108.32,80.56,79,100,2.04
183,Qaqortoq,GL,2021-12-14 20:55:08,60.7167,-46.0333,22.96,79,100,4.16
184,Mogadishu,SO,2021-12-14 20:55:09,2.0371,45.3438,78.93,81,100,20.02
185,Gilgit,PK,2021-12-14 20:55:09,35.9221,74.3087,34.77,78,98,2.17
186,Talnakh,RU,2021-12-14 20:55:09,69.4865,88.3972,-11.79,98,100,16.4
187,Pomabamba,PE,2021-12-14 20:55:10,-8.8333,-77.4667,59.74,57,96,6.53
188,Mahibadhoo,MV,2021-12-14 20:56:10,3.7833,72.9667,80.17,80,99,12.41
189,Nordfjordeid,NO,2021-12-14 20:56:10,61.9063,5.9915,48.15,93,90,1.14
190,Manadhoo,MV,2021-12-14 20:56:11,5.7667,73.3833,81.54,75,97,15.55
191,Port Elizabeth,ZA,2021-12-14 20:51:36,-33.918,25.5701,64.69,82,20,6.91
192,Pout,SN,2021-12-14 20:56:11,14.7739,-17.0603,76.98,57,0,12.66
193,Chanika,TZ,2021-12-14 20:56:12,-5.4167,38.0167,66.96,99,30,2.24
194,Thompson,CA,2021-12-14 20:56:12,55.7435,-97.8558,12.36,92,90,8.05
195,Leningradskiy,RU,2021-12-14 20:56:12,69.3833,178.4167,-29.06,93,13,9.26
196,Bonthe,SL,2021-12-14 20:56:13,7.5264,-12.505,81.84,77,100,8.66
197,Marathon,US,2021-12-14 20:56:13,44.9,-89.7668,40.24,83,90,1.99
198,Diamantino,BR,2021-12-14 20:51:15,-14.4086,-56.4461,80.78,74,33,7.58
199,Coos Bay,US,2021-12-14 20:56:13,43.3665,-124.2179,43.23,93,90,3.44
200,Buala,SB,2021-12-14 20:56:14,-8.145,159.5921,83.12,80,99,9.42
201,Atkarsk,RU,2021-12-14 20:56:14,51.8718,45.0078,25.81,87,100,9.04
202,Andilamena,MG,2021-12-14 20:56:15,-17.0167,48.5833,63.95,88,43,4.14
203,Bardiyah,LY,2021-12-14 20:56:15,31.7561,25.0865,57.45,65,13,18.21
204,Mildura,AU,2021-12-14 20:54:54,-34.2,142.15,69.76,46,100,10.36
205,Lukiv,UA,2021-12-14 20:56:15,51.0521,25.4006,20.03,97,72,5.88
206,Paita,PE,2021-12-14 20:56:16,-5.0892,-81.1144,79.36,78,51,16.46
207,Guerrero Negro,MX,2021-12-14 20:56:16,27.9769,-114.0611,66.16,57,83,11.88
208,Zhigansk,RU,2021-12-14 20:56:16,66.7697,123.3711,-44.86,100,91,2.77
209,Nikolskoye,RU,2021-12-14 20:56:17,59.7035,30.7861,33.87,97,100,9.91
210,Constitucion,CL,2021-12-14 20:56:17,-35.3333,-72.4167,63.18,61,0,17.9
211,Tunceli,TR,2021-12-14 20:52:20,39.1083,39.5471,43.93,70,100,4.34
212,Labuhan,ID,2021-12-14 20:56:18,-6.8844,112.2051,78.37,85,100,7.36
213,Qeshm,IR,2021-12-14 20:56:18,26.9581,56.2719,58.89,49,4,7.38
214,Hamilton,US,2021-12-14 20:54:32,39.1834,-84.5333,58.84,49,10,3.0
215,Planaltina,BR,2021-12-14 20:56:19,-15.4528,-47.6142,79.09,91,100,3.47
216,Maldonado,UY,2021-12-14 20:51:26,-34.6667,-54.9167,72.79,71,47,15.32
217,Faanui,PF,2021-12-14 20:56:19,-16.4833,-151.75,81.79,70,25,13.67
218,Ponta Do Sol,PT,2021-12-14 20:56:19,32.6667,-17.1,59.72,73,11,7.0
219,Quelimane,MZ,2021-12-14 20:56:20,-17.8786,36.8883,82.35,78,20,21.0
220,Itaituba,BR,2021-12-14 20:56:20,-4.2761,-55.9836,93.36,59,20,9.22
221,Sibenik,HR,2021-12-14 20:56:21,43.7272,15.9058,48.38,59,100,12.37
222,Kavaratti,IN,2021-12-14 20:56:21,10.5669,72.642,81.57,72,98,2.44
223,Bubaque,GW,2021-12-14 20:56:21,11.2833,-15.8333,81.57,68,96,13.11
224,Lata,PT,2021-12-14 20:56:22,40.1629,-8.3327,52.21,72,0,4.38
225,Calama,CL,2021-12-14 20:56:22,-22.4667,-68.9333,73.89,15,3,21.85
226,Shellbrook,CA,2021-12-14 20:56:22,53.2168,-106.4011,20.43,96,100,6.98
227,Gisborne,NZ,2021-12-14 20:56:23,-38.6533,178.0042,67.95,96,100,15.28
228,Muroto,JP,2021-12-14 20:56:23,33.2833,134.15,52.29,69,4,5.41
229,Hambantota,LK,2021-12-14 20:56:23,6.1241,81.1185,75.96,82,100,6.15
230,Zaragoza,ES,2021-12-14 20:56:24,41.6561,-0.8773,46.02,86,90,5.01
231,Marfino,RU,2021-12-14 20:56:24,55.7028,37.3822,25.05,100,90,0.0
232,Vestmanna,FO,2021-12-14 20:56:25,62.1564,-7.1664,43.72,76,75,14.97
233,Aklavik,CA,2021-12-14 20:56:25,68.2191,-135.0107,-17.57,76,75,4.61
234,Pavlovsk,RU,2021-12-14 20:56:25,50.4578,40.1081,32.25,91,100,3.56
235,Sadovoye,RU,2021-12-14 20:57:26,47.7764,44.5089,34.0,87,100,15.1
236,Anshun,CN,2021-12-14 20:57:26,26.25,105.9333,46.96,98,100,5.99
237,Presidencia Roque Saenz Pena,AR,2021-12-14 20:54:56,-26.7852,-60.4388,84.61,55,97,7.85
238,Upernavik,GL,2021-12-14 20:57:26,72.7868,-56.1549,5.0,95,100,10.58
239,Sao Francisco Do Conde,BR,2021-12-14 20:57:27,-12.6275,-38.68,82.42,81,99,6.42
240,Scottsbluff,US,2021-12-14 20:53:08,41.8666,-103.6672,54.27,30,100,2.06
241,Necochea,AR,2021-12-14 20:57:28,-38.5473,-58.7368,75.04,48,100,17.0
242,Townsville,AU,2021-12-14 20:57:28,-19.25,146.8,79.68,65,40,8.05
243,Sychevka,RU,2021-12-14 20:57:28,55.8252,34.2736,24.33,97,100,4.94
244,Bredasdorp,ZA,2021-12-14 20:57:29,-34.5322,20.0403,59.29,75,100,5.01
245,Rosarito,MX,2021-12-14 20:57:29,32.3333,-117.0333,58.59,91,100,31.68
246,Te Anau,NZ,2021-12-14 20:57:29,-45.4167,167.7167,57.16,75,100,1.36
247,Kelvington,CA,2021-12-14 20:57:30,52.1667,-103.5343,26.26,94,100,12.1
